cutoff,donut,rdd_est,rdd_se,rdd_lci,rdd_uci,rdd_tval
460,0,-0.030521655457846512,0.013529544384770253,-0.057039075179232325,-0.0040042357364607,-2.255926333498983
460,5,-0.044906457836018016,0.013696706507207173,-0.07175150929695948,-0.018061406375076562,-3.2786318238175247
460,10,-0.0602193496835137,0.013660892891136797,-0.08699420774680107,-0.033444491620226335,-4.408156199115219
460,15,-0.05599174166645313,0.013670972610450404,-0.08278635561656944,-0.029197127716336823,-4.095666289584383
460,20,-0.054947581701350605,0.013597394193186911,-0.08159798460359101,-0.028297178799110197,-4.041037637114511
460,25,-0.058823622356427574,0.013649903180763225,-0.08557694098318222,-0.03207030372967293,-4.309453450140771
460,30,-0.04191068850525635,0.013704862755510262,-0.06877172591912083,-0.015049651091391881,-3.058088888077736
460,35,-0.05289229781313743,0.013608835143444523,-0.07956512456583167,-0.02621947106044319,-3.886614633480665
460,40,-0.04630025413484136,0.013544005916965814,-0.07284601793849174,-0.01975449033119098,-3.4185051615226807
460,45,-0.04985770028800512,0.013651544647980832,-0.07661423613138807,-0.023101164444622162,-3.652165492890173
460,50,-0.050701029401978716,0.013465433268523445,-0.07709279364451213,-0.024309265159445308,-3.7652727833493875
460,55,-0.057933871611681016,0.013622570308699069,-0.08463361879359588,-0.031234124429766162,-4.252785656366607
460,60,-0.05315403207089841,0.0136426803504501,-0.07989319421037289,-0.026414869931423935,-3.8961575515580225
460,65,-0.05648856002200318,0.013814761374079774,-0.08356499477021459,-0.029412125273791757,-4.089000055259079
460,70,-0.04358051172602853,0.013671937784930031,-0.07037701738336372,-0.016784006068693354,-3.187588505125103
460,75,-0.0497445439633161,0.01367563873510298,-0.07654830334969884,-0.022940784576933364,-3.6374567160530886
460,80,-0.04212919160177009,0.013785509575266438,-0.06914829387782435,-0.015110089325715819,-3.0560489165635967
460,85,-0.03955547679716732,0.01393784981318207,-0.06687316045293248,-0.012237793141402144,-2.8379898856247348
460,90,-0.03507579789514473,0.013866945245923147,-0.06225451115274301,-0.007897084637546445,-2.5294538395510675
