rdd,rdd_tval,pueblo_loo
-0.0501937834014809,-3.623230616376758,Acahuacatongo
-0.05098294623202171,-3.698564552586555,Acalpixca
-0.053027209649706954,-3.923778632528241,Ahuayucan
-0.05270544895773026,-3.8752959587740725,Ajusco
-0.05363147044320612,-3.810850384696028,Atepehuacan
-0.051984598137802034,-3.7516929522295936,Atlapulco
-0.051070350390374074,-3.7217413655827594,Atocpan
-0.04868933558677724,-3.552491826078819,Atoyac
-0.05149817507754918,-3.7041836355556588,Azcapotzalco
-0.05406166324057886,-3.9220539100986103,Chapultepec
-0.04929783757909104,-3.6249022159984663,Chimalistac
-0.050096129080155365,-3.680273604488243,Churubusco
-0.04999304878429532,-3.9186093861083244,Coatepec
-0.04180420918100323,-3.0698571872000144,Coyoacan
-0.051044471340525914,-3.69565373415049,Cuajimalpa
-0.04803809913179691,-3.525943927704546,Cuauhtenco
-0.048358878729165736,-3.5321974115344097,Cuautenco (tlacotenco)
-0.051867250365673905,-3.7268019210423153,Culhuacan
-0.05032291308866804,-3.6505648034079163,Ixtayopan
-0.050635588465605876,-3.598513413214878,Iztacalco
-0.048711882933582,-3.4998638285351795,Iztapalapa
-0.05102121786216067,-3.6392355236033005,Magdalena de las salinas
-0.04765481237092961,-3.4199563214057815,Mexicaltzingo
-0.049925656326540314,-3.65829975582386,Miacatlan
-0.050424486139025636,-3.6321577605806867,Milpa alta
-0.05874414327611282,-4.327089609401893,Mixcoac
-0.048324075494318205,-3.493065889542822,Mixhuca
-0.049599723871817054,-3.5999324693959167,Mixquic
-0.04814834721704297,-3.416552059379241,Nativitas
-0.0532392940463842,-3.7941569438258522,Nextipac
-0.048509459743139034,-3.5373276128613265,Oztotepec
-0.05030882948876429,-3.6453479126727744,San agustin de las cuevas (tlalpan)
-0.051531901716379815,-3.776470759133659,San andres (totoltepec)
-0.05435549145199251,-4.0153114341195675,San angel
-0.0434087071801093,-3.1396579925432504,San bartolome (ameyalco)
-0.042493175040944735,-3.2406245546519483,San pablo (chimalpa)
-0.050335373839624595,-3.6388832561992466,Sanctorum
-0.046359339945560456,-3.374998335253261,Santa catarina (yecahuizotl)
-0.052162493572873725,-3.755256033500719,Tacuba
-0.047722583133430536,-3.478943705420388,Tacubaya
-0.050355694952377586,-3.6606368031530456,Tecomitl
-0.04925456686955379,-3.6029827256981224,Tecoxpa
-0.049194826261878,-3.6278103552043577,Tenochtitlan
-0.049993062878561444,-3.607055905588818,Tepalcatlapan
-0.049757742785159674,-3.6432435533869403,Tepenahuac
-0.049144438440449745,-3.549779569563755,Tepepan
-0.04583272621608762,-3.3585104925659586,Tepetlapa
-0.04853575836067137,-3.5449657735128706,Tetelco
-0.03882293842884741,-2.83069624163291,Ticoman
-0.055019724070536416,-3.9470642663315334,Tilcacan (tlihuaca)
-0.051679429204699,-3.7490461228337963,Tizapan
-0.053923734716524147,-3.9930551183186878,Tlacoquemacatl
-0.05077114963688316,-3.7300111977475487,Tlacoyucan
-0.05025752877314918,-3.6517846179564333,Tlahuac
-0.046544661122763384,-3.42228960401591,Tlalnepantla
-0.05139215184699131,-3.7189996091122217,Tlaltenco
-0.049025203174232534,-3.5774208496906588,Tlatelolco
-0.05073707989743428,-3.709148231161283,Tlaxialtemalco
-0.04238276245238882,-3.1159793214341684,Topilejo
-0.0456296992110893,-3.3095554817136703,Tulyehualco
-0.05217540967458876,-3.7949483956030794,Xalpa
-0.046024229297835825,-3.3910370497088,Xicalco
-0.047882172346782687,-3.526066517911663,Xicomulco
-0.053934386651744146,-3.9271778069199685,Xochimanca
-0.05227466362993486,-3.7491557001790277,Xochimilco
-0.051210154140222224,-3.691010535544776,Xochitepec
-0.05024940264395186,-3.5875193933436558,Xocotitla
-0.05280885674210529,-3.814790836504851,Yauticla
-0.04947531521993673,-3.561596821831604,Zacatlamanco
-0.05045323394556006,-3.647821539914073,Zapotitlan
